韻	字	簡化字	推導音	校正音	註	字頻
u	豎	竖	shu4			30915
u	術	术	shu2			30915
ang	當	当	dang1			30731
ang	當	当	dang4			30731
eng	更		geng1			30720
eng	更		geng4			30720
i	苤		pi1	pei1		30692
i	機	机	ji1			30641
o	著		zhuo1	!		30532
o	著		zhuo2			30532
u	著		chu2	!		30532
u	著		zhu3	!		30532
u	著		zhu4			30532
in	音		yin1			30409
in	因		yin1			30408
in	陰	阴	yin1			30408
in	民		min2			30226
y	子		zy3			30184
u	圖	图	tu2			29988
ang	常		chang2			29977
ang	腸	肠	chang2			29975
u	無	无	wu2			29826
y	自		zy4			29774
au	報	报	bau4			29597
ui	水		shui3			29478
ai	該	该	gai1			29149
ang	王		wang2			28991
ang	王		wang4	*		28991
ang	亡		wang2			28973
ang	黃	黄	huang2			28741
an	看		kan1			28536
an	看		kan4			28536
iu	去		qu3	!		28395
iu	去		qu4			28395
ang	相		siang1			28228
ang	相		siang4			28228
ing	明		ming2			28194
in	心		sin1			28116
in	新		sin1			28116
ui	出		chui4	!		28092
u	出		chu1			28092
u	梳		shu1			27993
u	書	书	shu1			27993
u	輸	输	shu1	shu1 rhu1		27993
u	輸	输	shu4	!		27993
en	很		hen4			27890
a	八		ba1			27729
au	調	调	tiau2			27264
au	調	调	diau4			27264
ou	調	调	zhou1	*		27264
o	作		zuo1			27206
o	作		zuo4	*		27206
u	作		zu4	!		27206
ui	為	为	wui2			27033
in	信		sin4			26307
u	部		bu4			26188
a	把		ba3			25774
an	選	选	siuan3			25749
an	選	选	siuan4	!		25749
an	傳	传	chuan2			25693
an	傳	传	zhuan4			25693
o	若		rheo2	*		25596
o	若		rheo3	*		25596
o	若		rhuo1			25596
o	弱		rhuo1			25541
an	見	见	jan4	jan4 jan1*		25458
an	見	见	xan4	*		25458
an	賤	贱	zian4			25456
an	件		jan4			25456
ui	外		wui4	wai4		25091
u	處	处	chu3			24669
u	處	处	chu4			24669
y	只		zhy1	*		24560
y	只		zhy3			24560
o	做		zuo4	*		24148
u	做		zu4			24148
au	道		dau4			24036
au	校		jau4			23997
au	校		xau4			23997
ou	友		you3			23874
a	化		hua4			23784
ai	話	话	huai4	hua4		23783
a	畫	画	hua4			23783
e	畫	画	hue2	hua2		23783
o	阿		eo1	eo1 a1		23550
y	指		zhy3			23530
y	止		zhy3			23530
y	紙	纸	zhy3			23530
a	吧		ba1			23486
a	吧		pa1	!		23486
iu	六		liu1	liou4 lu1*		23418
ang	搶	抢	ciang1	*		23394
ang	搶	抢	ciang3			23394
ang	搶	抢	chuang3	*		23394
a	答		da1			23084
o	摩		muo2			23030
o	摩		muo4	*		23030
au	條	条	tiau2			23029
e	別	别	bie2			23003
an	原		yuan2			22784
en	鎮	镇	zhen4			22745
a	達	达	ta1	da1		22622
a	達	达	da2			22622
an	千		cian1			22517
an	簽	签	cian1			22500
an	牽	牵	qan1			22500
an	牽	牵	qan4	*		22500
au	導	导	dau4		dau3 ?	22482
au	島	岛	dau3			22350
o	啊		eo1	a1		22312
u	吳	吴	wu2			22293
au	較	较	jau4			22144
o	較	较	juo1	*		22144
o	郭		guo1			22013
iu	與	与	yu2	*		21893
iu	與	与	yu3			21893
iu	與	与	yu4			21893
i	棄	弃	qi4			21703
i	器		qi4			21702
i	氣	气	qi4			21702
i	氣	气	xi4	*		21702
eng	正		zheng1	*		21622
eng	正		zheng4			21622
o	度		duo2	*		21574
u	度		du4			21574
i	妻		ci1			21562
i	妻		ci4	*		21562
i	比		bi2	!		21396
i	比		pi2	!		21396
i	比		bi3			21396
i	比		bi4	!		21396
an	片		pian4			21317
eng	盛		cheng2			21175
eng	盛		sheng4			21175
i	漆		ci1			20867
an	點	点	dian3			20808
i	七		ci1			20690
o	課	课	kuo1	!		20607
o	課	课	kuo4			20607
e	客		ke1			20607
i	欺		qi1			20600
i	起		qi3			20421
ang	光		guang1			20415
ang	光		guang4	!		20415
ang	想		siang3			20353
ang	享		xang3			20352
ang	響	响	xang3			20352
an	填		tian2			20240
an	填		dian4	*		20240
en	填		zhen4	*		20240
an	田		tian2			20239
an	甜		tian2			20239
in	品		pin3			20237
an	篇		pian1			20223
e	特		de2			20129
ou	樓	楼	lou2			20055
au	叫		jau4			20029
ung	東	东	dung1			20017
ung	冬		dung1			20016
e	射		ye4	*		20003
i	射		yi1	*		20003
o	射		sheo4			20003
y	射		shy2	*		20003
o	嗑		geo1	keo1		20001
o	嗑		heo2	*		20001
e	克		ke1			20000
e	且		cie3			19981
iu	且		ziu1	*		19981
o	薄		buo2			19976
ung	工		gung1			19861
o	車	车	cheo1			19861
iu	車	车	ju1	*		19861
u	股		gu3			19836
e	德		de1			19826
o	舍		sheo3	*		19732
o	舍		sheo4			19732
un	村		cun1			19697
ing	應	应	ying1			19672
ing	應	应	ying4			19672
ang	傷	伤	shang1			19600
ang	傷	伤	shang4	!		19600
ang	商		shang1			19598
o	設	设	sheo1			19583
e	攝	摄	nie1			19582
o	攝	摄	sheo1			19582
o	社		sheo4			19582
ing	情		cing2			19579
e	刻		ke1			19522
eng	增		zeng1			19478
eng	增		zeng4	!		19478
eng	省		sheng3			19433
ing	省		sing3			19433
ai	皆		jai1			19425
e	接		zie1			19424
ai	街		jai1	!		19420
a	街		ja1	je1		19420
en	門	门	men2			19385
ang	漲	涨	zhang1	zhang3		19287
ang	漲	涨	zhang4			19287
an	萬	万	wan4			19239
ai	愛	爱	ai4			19146
ui	胃		wui4			19032
ui	偽	伪	wui4	wui3		19032
i	未		vi4			19032
i	味		vi4			19032
ui	位		wui4			19032
ui	魏		wui4			19000
ui	衛	卫	wui4			19000
i	呢		ni2			18971
o	過	过	guo1			18944
o	過	过	guo4			18944
in	禁		jin1			18909
in	禁		jin4			18909
a	發	发	fa1			18848
ung	公		gung1			18783
o	它		tuo1	ta1		18651
iung	營	营	yung2	ying2		18638
in	浸		cin1			18372
in	浸		zin4	*		18372
i	及		ji2	ji1 ji2		18348
en	真		zhen1			18312
i	級	级	ji1			18300
i	急		ji1	ji2		18300
i	即		zi1			18300
i	吉		ji1			18300
i	集		zi2	zi1 zi2		18300
e	伯		be1			18289
o	博		buo1			18230
o	顆	颗	kuo3			18089
o	科		kuo1			18088
o	科		kuo4	!		18088
o	柯		geo1	keo1		18087
ang	兩	两	liang3			18003
ang	兩	两	liang4	!		18003
o	卻	却	juo1	!		17926
o	卻	却	quo1			17926
an	難	难	nan2			17869
an	難	难	nan4			17869
an	擔	担	dan1			17849
an	擔	担	dan4			17849
ou	九		jou3			17837
ou	酒		ziou3			17836
ou	久		jou3			17836
in	盡	尽	zin3	*		17804
in	盡	尽	zin4			17804
in	進	进	zin4			17804
an	還	还	siuan2	!		17520
an	還	还	huan2	huan2 hai2		17520
au	交		jau1			17421
an	安		an1			17413
an	南		nan2			17411
an	男		nan2			17410
iun	群		qun2			17408
au	焦		ziau1			17400
au	嬌	娇	jau1			17400
au	嬌	娇	qau2	*		17400
au	嬌	娇	jau3	*		17400
au	膠	胶	jau1			17400
au	膠	胶	qau1	!		17400
au	膠	胶	jau4	!		17400
an	單	单	dan1			17219
an	單	单	chan2	*		17219
an	單	单	shan4	*		17219
ou	收		shou1			17139
ou	收		shou4	!		17139
y	視	视	shy4	shy4 shy1		17127
au	驕	骄	jau1			17000
i	筆	笔	bi1	bei1		17000
an	丹		dan1			16995
y	字		zy4			16877
i	裡	里	li3			16861
an	刪	删	shan1			16716
an	山		shan1			16715
i	粒		li1			16688
i	例		li4			16688
i	利		li4			16687
i	力		li1			16687
i	立		li1			16687
i	飛	飞	fi1			16547
i	非		fi1			16547
i	妃		fi1			16540
ei	妃		pei4	!		16540
au	約	约	yau4	!		16521
o	約	约	yuo1			16521
en	神		chen2	shen2		16515
i	禮	礼	li3			16472
i	理		li3			16472
i	李		li3			16472
i	里		li3			16471
iung	龍	龙	liung2			16354
iung	隆		liung2			16353
ai	海		hai3			16293
u	木		mu1			16275
u	目		mu1			16274
an	管		guan3			16260
an	館	馆	guan4	guan3		16259
an	煽		shan1			16209
an	煽		shan4	*		16209
ou	偶		ou3			16151
ou	偶		ou4	!		16151
ai	才		cai2			16087
ang	掌		zhang3			16000
u	墓		mu4			16000
ing	定		ding4			15983
y	入		rhy1	rhu1 rhy1*		15873
iung	永		yung3			15825
au	標	标	biau1			15805
au	標	标	biau3	*		15805
en	任		rhen2	*		15555
en	任		rhen4			15555
ang	羊		yang2			15535
ang	楊	杨	yang2			15521
ang	洋		siang2	!		15520
ang	洋		yang2			15520
ang	陽	阳	yang2			15520
ang	揚	扬	yang2			15519
an	鮮	鲜	sian1	siuan1		15504
an	鮮	鲜	sian3	siuan3*		15504
an	鮮	鲜	sian4	!		15504
ang	方		fang1			15482
ang	方		fang2	!		15482
ang	芳		fang1	fang1 fang2		15481
an	建		jan4			15457
an	縣	县	xuan2	*		15457
an	縣	县	xuan4	xan4		15457
ou	瘦		shou4			15452
ou	授		shou4			15452
ou	售		shou4			15452
ou	受		shou4			15452
ou	壽	寿	shou4			15451
ou	獸	兽	shou4			15451
an	陷		xan4			15437
an	獻	献	xan4			15437
o	獻	献	suo1	!		15437
an	限		xan4			15437
an	現	现	xan4			15436
an	線	线	sian4			15436
i	撕		si1			15403
ou	劉	刘	liou2			15360
a	亞	亚	ya4			15351
eng	橙		cheng2			15302
eng	橙		deng4	*		15302
y	思		sy1			15294
y	思		sy4	*		15294
an	連	连	lian2			15258
an	聯	联	lian2	liuan2		15257
ang	涼	凉	liang2			15184
ang	涼	凉	liang4			15184
an	院		huan2			15170
an	院		yuan4			15170
y	斯		sy1			15167
y	絲	丝	sy1			15167
y	司		sy1			15167
y	私		sy1			15167
un	問	问	wun4			15158
iun	均		jun1			15067
ang	亮		liang4			15063
ang	量		liang2			15062
ang	量		liang4			15062
ang	輛	辆	liang4			15062
ang	良		liang2			15061
y	次		cy4			15061
ang	糧	粮	liang2			15061
ang	梁		liang2			15060
i	液		yi1	yi1 ye4		15037
eng	乘		cheng2			14998
eng	乘		sheng4	*		14998
ung	動	动	dung4			14987
iu	局		ju2			14884
i	亦		yi1			14787
i	意		yi4			14786
i	義	义	yi4			14786
i	易		yi1			14785
i	易		yi4			14785
eng	程		cheng2			14756
eng	城		cheng2			14756
eng	呈		cheng2			14756
eng	呈		zheng4	!		14756
eng	成		cheng2			14756
eng	誠	诚	cheng2			14756
eng	承		cheng2			14756
an	板		ban3			14738
an	轉	转	zhuan3			14693
an	轉	转	zhuan4			14693
an	蓮	莲	lian2			14666
an	蓮	莲	lian3	!		14666
ung	空		kung1			14644
ung	空		kung4			14644
a	啞	哑	ya3			14561
a	啞	哑	ya4	*		14561
e	啞	哑	e1	*		14561
ang	廠	厂	chang3			14430
ang	廠	厂	chang4	!		14430
ung	同		tung2			14414
ing	鷹	鹰	ying1			14294
ing	英		ying1			14294
eng	櫻	樱	eng1	ying1		14294
ang	香		xang1			14229
ang	鄉	乡	xang1			14229
ang	箱		siang1			14228
ang	鑲	镶	siang1			14228
ang	鑲	镶	rhang2	*		14228
ang	鑲	镶	niang2	*		14228
eng	認	认	rheng4	!		14198
en	認	认	rhen4			14198
ing	星		sing1			14154
en	份		fen4			14142
in	份		bin1	!		14142
ai	太		tai4			14141
an	面		mian4			14101
an	麵	面	mian4			14100
en	糞	粪	fen4			14100
an	展		zhan3			14057
ou	句		gou1	*		14035
ou	句		gou4	*		14035
iu	句		qu2	*		14035
iu	句		ju4			14035
ang	強	强	qang2	qang2 qang1*		14009
en	忿		fen3	!		14000
en	忿		fen4			14000
ang	巷		xang4			14000
ing	嬰	婴	ying1			14000
en	憤	愤	fen4			14000
en	奮	奋	fen4			14000
ang	像		siang4			14000
ang	向		shang4	!		14000
ang	向		xang4			14000
ang	項	项	xang4			13999
ang	象		siang4			13998
a	雅		ya3			13956
u	福		fu1			13944
u	福		fu4	!		13944
eng	仍		rheng2			13938
an	先		sian1			13930
an	先		sian4	!		13930
iu	據	据	ju4			13929
an	掀		xan1			13920
iu	具		ju4			13920
iu	聚		ziu4			13920
i	劇	剧	ji2	ju4	?	13919
u	物		wu1			13897
o	喔		yuo1	wo1		13868
ung	種	种	zhung3			13812
ung	種	种	zhung4			13812
ai	揣		chuai3			13695
o	揣		duo3	*		13695
u	除		chu2			13690
u	除		zhu4	!		13690
i	體	体	ti3			13657
ang	場	场	chang2	chang2 chang3		13624
i	以		yi3			13539
i	己		ji3			13539
i	已		yi3			13539
i	已		yi4	*		13539
ai	開	开	kai1			13522
ou	手		shou3			13457
o	沒	没	muo1	mu2		13377
an	團	团	tuan2			13222
eng	鄭	郑	zheng4			13152
en	跟		gen1			13122
en	根		gen1			13121
i	椅		yi1	!		13112
i	椅		yi3			13112
y	志		zhy4			13099
ung	通		tung1			13064
ung	重		chung2			13021
ung	重		zhung4			13021
i	矣		yi3			13000
i	乙		yi1			13000
iu	女		niu3			12843
iu	女		niu4	!		12843
iu	許	许	xu3			12805
iung	雄		yung2	xung2		12788
an	按		an4			12760
iung	熊		yung2	xung2		12756
ang	牆	墙	ciang2			12735
iu	需		siu1			12567
y	智		zhy4			12545
iung	榮	荣	yung2			12526
ang	檔	档	dang1			12504
ui	攜	携	hui2	xe2		12504
e	列		lie1			12496
u	列		zhu1	!		12496
e	北		be1	bei1		12495
an	含		han2			12476
eng	政		zheng4			12364
an	觀	观	guan1			12353
an	觀	观	guan4	*		12353
a	花		hua1			12344
an	關	关	guan1			12287
y	飾	饰	shy1			12233
ou	修		siou1			12208
an	覽	览	lan3			12163
eng	藤		teng2			12162
a	馬	马	ma3			12160
u	務	务	wu4			12123
i	提		ti2			12083
y	提		chy2	*		12083
ui	瑞		shui4	rhui4		12051
an	案		an4			12000
an	暗		an4			12000
e	謝	谢	sie4			11990
o	羅	罗	luo2			11946
iu	須	须	siu1			11914
an	電	电	dian4			11913
i	費	费	bi4	!		11907
i	費	费	fi4			11907
au	咬		jau1	!		11906
au	咬		yau1	!		11906
au	咬		yau3			11906
ou	守		shou3			11887
ou	守		shou4	*		11887
ai	凱	凯	kai3			11870
ai	楷		jai1	!		11869
ai	楷		qai3	kai3		11869
au	保		bau3			11855
ai	待		dai4			11765
i	西		si1			11734
i	吸		xi1			11723
i	溪		qi1	xi1		11722
i	嘻		xi1			11722
y	製	制	zhy4			11622
i	基		ji1			11597
un	論	论	lun2	*		11579
un	論	论	lun4			11579
iun	論	论	liun2	*		11579
ai	蔡		cai4			11511
iung	共		jung1	gung1*		11460
iung	共		jung4	gung4		11460
i	計	计	ji4			11450
i	暨		ji4			11450
i	記	记	ji4			11450
i	繼	继	ji4			11450
i	寄		ji4			11450
i	劑	剂	zi4			11449
ui	劑	剂	zui1	!		11449
i	際	际	zi4			11449
i	既		ji4			11449
i	紀	纪	ji3	ji4		11449
i	題	题	ti2			11431
i	題	题	di4	!		11431
i	係	系	ji4	xi4		11423
ang	將	将	ciang1	*		11410
ang	將	将	ziang1			11410
ang	將	将	ziang4			11410
ang	槍	枪	ciang1			11398
eng	槍	枪	cheng1	*		11398
ang	腔		qang1			11397
ing	景		jing3			11349
an	閒		jan1	*		11317
an	閒	闲	xan2			11317
au	寶	宝	bau3			11300
en	笨		ben3	!		11251
en	笨		ben4			11251
an	檢	检	jan3			11247
ang	廣	广	guang3			11223
ui	遺	遗	wui2	yi2		11209
ui	遺	遗	wui4	*		11209
i	咦		xi1	yi1	yei1 ?	11207
ai	率		shuai4			11160
u	率		shu1	liu1		11160
an	沿		yuan2	yan2		11159
an	延		yan2			11148
an	延		yan4	!		11148
eng	延		zheng1	!		11148
ui	會	会	hui4			11131
ui	會	会	kui4	*		11131
ui	繪	绘	hui4			11129
ai	匯	汇	kuai1			11129
ui	匯	汇	hui4			11129
an	顏	颜	yan2			11100
an	嚴	严	yan2			11100
iung	供		jung1	gung1		11075
iung	供		jung4	gung4		11075
ung	送		sung4			11068
y	世		shy4			11044
eng	稱	称	cheng1			11034
eng	稱	称	cheng4			11034
i	姨		yi2			11000
i	疑		yi2			11000
i	移		yi2			11000
i	宜		yi2			11000
i	怡		yi2			11000
i	儀	仪	yi2			11000
ing	青		cing1			10935
ing	輕	轻	qing1			10930
ing	輕	轻	qing4	!		10930
ing	清		cing1			10929
ang	康		kang1			10864
an	產	产	shan3	chan3		10852
y	史		shy3			10799
au	超		chau1	chau1 chau2*		10778
an	灣	湾	wan1			10730
an	遠	远	yuan3			10692
an	遠	远	yuan4	!		10692
a	價	价	ja4			10686
y	實	实	shy2			10678
a	嫁		ja4			10677
a	架		ja4			10677
a	駕	驾	ja4			10677
an	員	员	yuan2			10670
iun	員	员	yun2	*		10670
iun	員	员	yun4	*		10670
a	濕	湿	ta1	*		10649
y	濕	湿	shy1			10649
y	失		shy1			10648
y	詩	诗	shy1			10647
y	施		shy1			10647
y	施		shy4	!		10647
y	師	师	shy1			10647
eng	風	风	feng1			10637
eng	風	风	feng4	!		10637
an	慢		man4			10633
i	技		ji4			10592
ou	頭	头	tou2			10590
ung	苳		dung1			10570
ang	江		jang1			10566
ang	姜		jang1			10566
ang	漿	浆	ziang1			10566
ang	僵		jang1			10566
ang	薑	姜	jang1			10566
a	假		ja3			10497
a	假		ja4			10497
ui	慧		hui4			10404
ui	惠		hui4			10404
an	談	谈	tan2			10398
au	找		zhau3			10361
u	淑		shu2	shu2 shu1		10354
e	白		be2			10323
y	石		shy2			10287
y	仔		zy1	!		10285
y	仔		zy3	zy3 zai3		10285
an	滿	满	man3			10250
o	合		geo1	!		10199
o	合		heo2			10199
u	父		fu3	*		10184
u	父		fu4			10184
u	付		fu4			10171
en	仁		rhen2			10171
u	赴		fu4			10171
u	附		fu4			10171
u	負	负	fu4			10171
e	覆		pe1	!		10170
u	覆		fu1			10170
u	覆		fu4	*		10170
u	婦	妇	fu4			10170
i	副		pi1	!		10170
u	副		fu1	*		10170
u	副		fu4			10170
u	腹		fu1			10170
u	複	复	fu1			10170
u	複	复	fu4	fu3*		10170
u	富		fu4			10170
ing	另		ling4			10126
an	令		lian2	!		10125
ing	令		ling2	!		10125
ing	令		ling4			10125
an	款		kuan3			10101
u	傅		fu4			10100
ai	買	买	mai3			10019
o	河		heo2			9999
o	盒		heo2			9999
e	核		he2			9999
o	何		heo2			9999
o	何		heo4	!		9999
e	葉	叶	ye1			9991
o	葉	叶	sheo1	*		9991
au	老		lau3			9973
an	扁		pian1	*		9958
an	扁		bian3			9958
an	扁		bian4	!		9958
ang	雙	双	shuang1			9956
ang	霜		shuang1			9955
an	權	权	quan2	quan2 quan3		9947
o	馱	驮	tuo2			9921
o	馱	驮	duo4	*		9921
ai	快		kuai4			9914
y	知		zhy1			9894
ing	影		ying3			9841
eng	豐	丰	feng1			9821
au	票		biau4	!		9778
au	票		piau4			9778
i	麗	丽	li2			9680
i	麗	丽	li4			9680
y	質	质	zhy1			9669
y	質	质	zhy4	*	稱重？	9669
ai	泰		tai4			9632
ou	周		zhou1			9601
au	蕭	萧	siau1			9591
iun	輪	轮	liun2	lun2		9541
a	碼	码	ma3			9468
ang	祥		siang2			9426
an	專	专	zhuan1			9424
e	百		be1			9390
an	源		yuan2			9370
y	耳		el3			9354
y	爾	尔	el3			9353
a	拉		la1	la1 lau1*		9325
e	貼	贴	tie1			9317
an	簡	简	jan3			9307
ui	委		wui1	*		9303
ui	委		wui3			9303
i	折		ti2	!		9285
o	折		zheo1			9285
o	折		sheo2	*		9285
u	普		pu3			9220
an	平		pian2	!		9186
ing	平		ping2			9186
ou	宿		siou4	siou4* siou3*	?	9141
iu	宿		siu1			9141
y	值		zhy2	zhy2 zhy1		9136
y	值		zhy4	!		9136
y	直		zhy2			9135
in	近		jin4			9115
ou	投		tou2			9090
ai	臺	台	tai2			9085
i	速		zi1	!		9073
u	速		su1			9073
iun	雲	云	yun2			9068
ing	打		ding3			9062
?	打		?	da3		9062
an	貶	贬	bian3			9054
eng	證	证	zheng4			9016
y	執	执	zhy1			9000
y	職	职	zhy1			9000
u	塑		su4	su4 suo4		8968
u	訴	诉	su4			8968
u	素		su4			8968
ou	由		you2			8963
ou	遊	游	you2			8963
ou	游		you2			8962
ou	油		you2			8962
ou	油		you4	!		8962
i	億	亿	yi1			8957
ui	誰	谁	chui2	shui2 shei2		8863
an	環	环	huan2			8823
ung	統	统	tung4	tung3		8719
au	樂	乐	yau4	!		8709
o	樂	乐	yuo1			8709
o	樂	乐	luo1			8709
ou	流		liou2			8689
ai	財	财	cai2			8647
an	段		duan4			8639
an	斷	断	duan3	!		8638
an	斷	断	duan4			8638
ou	秀		siou4			8601
ou	嗅		xou4			8600
ou	繡	绣	siou4			8600
ang	港		jang3	gang3		8586
ung	港		hung4	!		8586
iu	旅		liu3			8560
ou	優	优	you1			8540
ou	呦		you1			8539
ou	憂	忧	you1			8539
iu	魚	鱼	yu2			8485
i	益		yi1			8455
an	言		yan2			8415
e	色		she1			8395
a	查		zha1	*		8385
a	查		cha2			8385
an	藍	蓝	lan2			8377
an	攔	拦	lan2			8377
an	蘭	兰	lan2			8376
an	欄	栏	lan2			8376
a	蟆		ma2			8372
au	少		shau3			8356
au	少		shau4			8356
ang	講	讲	jang3			8331
e	格		ge1			8310
o	格		geo1	*		8310
au	料		liau2	!		8301
au	料		liau4			8301
u	故		gu4			8268
ing	晴		cing2			8265
i	臂		bi4	bei4		8227
ai	賣	卖	mai4			8207
y	置		zhy4			8201
e	責	责	zhe1			8200
ing	並	并	bing4			8190
ing	病		bing4			8189
u	住		zhu4			8169
ou	祝		zhou4	*		8169
u	祝		zhu1			8169
u	助		zhu4			8168
u	蛀		zhu4			8130
u	註	注	zhu4			8130
e	寫	写	sie3			8100
ing	慶	庆	qing4			8048
a	解		ja3	je3		8045
a	解		ja4	ji4*		8045
