韻	字	簡化字	推導音	校正音	註
ai	㕈		ai3		
ai	㚷		nai3		
ai	㧔		kuai4		
ai	佴		nai4		
ai	侅		hai4		
ai	侅		xai4		
ai	劾		hai4		
ai	劾		qai4		
ai	哎		ai4		
ai	屆	届	jai4		
ai	届		jai4		
ai	岱		dai4		
ai	帒		dai4		
ai	怪		kuai4		
ai	拜		bai4		
ai	杷		bai4		
ai	玠		jai4		
ai	甙		dai4		
ai	衩		chai4		
ai	迨		dai4		
ai	采		cai3		
ai	隶		dai4		
ai	奈		nai4		
ai	㕟		kuai4		
ai	㞒		xai4		
ai	㤥		hai4		
ai	㧡		hai4		
ai	䀛		mai4		
ai	咶		huai4		
ai	差		chai4		
ai	帥	帅	shuai4		
ai	待		dai4		
ai	怠		dai4		
ai	恠		kuai4		
ai	柰		nai4		
ai	殆		dai4		
ai	洒		shai4		
ai	派		pai4		
ai	玳		dai4		
ai	界		jai4		
ai	疥		jai4		
ai	砎		jai4		
ai	耏		nai4		
ai	耐		nai4		
ai	衸		jai4		
ai	衸		xai4		
ai	迺	乃	nai3		
ai	㖑		xai4		
ai	㧳		zhuai4		
ai	㭛		pai4		
ai	㳗		chai4		
ai	䙷		ai4		
ai	䢙		bai4		
ai	勑		lai4		
ai	唄	呗	bai4		
ai	唉		yai3		
ai	娧		tai4		
ai	宰		zai3		
ai	害		hai4		
ai	悈		jai4		
ai	挨		ai3		
ai	挨		yai3		
ai	栽		zai4		
ai	欬		kai4		
ai	氦		hai4		
ai	泰		tai4		
ai	海		hai3		
ai	浿		pai4		
ai	烗		qai4		
ai	能		nai4		
ai	蚧		jai4		
ai	訍		chai4		
ai	軑		dai4		
ai	㥒		cai3		
ai	㳦		xai4		
ai	唻		lai3		
ai	啐		cuai4		
ai	埭		dai4		
ai	埰		cai4		
ai	娾		yai3		
ai	寀		cai3		
ai	帶	带	dai4		
ai	彩		cai3		
ai	徠	徕	lai4		
ai	捭		bai3		
ai	採	采	cai3		
ai	敗	败	bai4		
ai	械		xai4		
ai	欸	唉	ai3		
ai	欸	唉	xai4		
ai	猈		bai3		
ai	眦		zhai4		
ai	砦		zhai4		
ai	硋		ai4		
ai	祭		zhai4		
ai	紿	绐	dai4		
ai	菜		cai4		
ai	萊	莱	lai4		
ai	袋		dai4		
ai	逨		lai4		
ai	逮		dai4		
ai	酞		tai4		
ai	釱		dai4		
ai	殺	杀	shai4		
ai	率		shuai4		
ai	䦏		xai4		
ai	傣		dai3		
ai	凱	凯	kai3		
ai	喟		kuai4		
ai	嘅		kai4		
ai	塊	块	kuai4		
ai	愒		kai4		
ai	慨		kai4		
ai	揣		chuai3		
ai	揩		qai4		
ai	棌		cai4		
ai	棑		bai4		
ai	毳		chuai4		
ai	渿		nai4		
ai	湃		pai4		
ai	溉		gai4		
ai	等		dai3		
ai	絠		gai3		
ai	絯		xai4		
ai	裁		zai4		
ai	裞		tai4		
ai	詒	诒	dai4		
ai	買	买	mai3		
ai	貸	贷	tai4		
ai	軩		dai4		
ai	鈣	钙	gai4		
ai	㪜		chuai3		
ai	㲡		nai4		
ai	㾢		lai4		
ai	債	债	zhai4		
ai	塏	垲	kai3		
ai	廌		zhai4		
ai	愛	爱	ai4		
ai	愷	恺	kai3		
ai	愾	忾	kai4		
ai	戤		gai4		
ai	楷		qai3		
ai	概		gai4		
ai	槩		gai4		
ai	毻		tai4		
ai	溘		kai4		
ai	瑇		dai4		
ai	睞	睐	lai4		
ai	睬		cai3		
ai	稗		bai4		
ai	筷		kuai4		
ai	蒯		kuai4		
ai	蓋	盖	gai4		
ai	蛻	蜕	tai4		
ai	話	话	huai4		
ai	跢		dai4		
ai	輆		kai3		
ai	載	载	zai3		
ai	載	载	zai4		
ai	酨		zai4		
ai	餀		hai4		
ai	塞		sai4		
ai	㕢		gai4		
ai	㪡		kai4		
ai	䁓		jai4		
ai	䐆		cai4		
ai	䯰		jai4		
ai	䲦		dai4		
ai	勱	劢	mai4		
ai	寨		zhai4		
ai	態	态	tai4		
ai	摡		gai4		
ai	暟		kai3		
ai	漑		gai4		
ai	瘥		chai4		
ai	粺		bai4		
ai	綵	彩	cai3		
ai	蔡		cai4		
ai	誡	诫	jai4		
ai	閡	阂	ai4		
ai	韎		mai4		
ai	駃		kuai4		
ai	鼐		nai3		
ai	鼐		nai4		
ai	㯂		dai4		
ai	㺔		hai4		
ai	㾹		zhai4		
ai	㿷		chuai4		
ai	䈚		dai4		
ai	䈛		guai4		
ai	䈛		kuai4		
ai	䓶		lai4		
ai	䚅		lai4		
ai	䲸		jai4		
ai	僾		ai4		
ai	嘪		mai3		
ai	嘬		chuai4		
ai	嘳		kuai4		
ai	噧		xai4		
ai	墤		kuai4		
ai	嬇		kuai4		
ai	慸		chai4		
ai	曃		tai4		
ai	槪		gai4		
ai	磕		kai4		
ai	罷	罢	bai3		
ai	艐		jai4		
ai	蕒		mai3		
ai	蕢	蒉	kuai4		
ai	誺		lai4		
ai	賚	赉	lai4		
ai	賣	卖	mai4		
ai	邁	迈	mai4		
ai	頦	颏	gai3		
ai	駘	骀	dai4		
ai	魪		jai4		
ai	㠔		bai4		
ai	㯔		chuai4		
ai	㵋		mai3		
ai	㿃		dai4		
ai	䏁		zai3		
ai	䐩		kai3		
ai	儓		tai4		
ai	儗		ai4		
ai	儗		hai4		
ai	噫		yai4		
ai	噲	哙	kuai4		
ai	壒		ai4		
ai	憊	惫	bai3		
ai	憊	惫	bai4		
ai	懀		wai4		
ai	橀		hai3		
ai	獪	狯	guai4		
ai	瘵		zhai4		
ai	縡		zai3		
ai	縡		zai4		
ai	膪		zhuai4		
ai	薆		ai4		
ai	薤		xai4		
ai	螚		nai4		
ai	褹		nai4		
ai	賴	赖	lai4		
ai	閷		shai4		
ai	韰		xai4		
ai	駭	骇	xai4		
ai	鴱		ai4		
ai	㔥		bai3		
ai	㘆		tai3		
ai	䵧		zai4		
ai	嬭	奶	nai3		
ai	懝		ai4		
ai	戴		dai4		
ai	曖	暧	ai4		
ai	璦	瑷	ai4		
ai	璯		kuai4		
ai	竁		chuai4		
ai	艜		dai4		
ai	賽	赛	sai4		
ai	轄	辖	kai4		
ai	醢		hai3		
ai	鍇	锴	qai3		
ai	駴		xai4		
ai	駾		tai4		
ai	騃	呆	yai3		
ai	黛		dai4		
ai	㒠		xai4		
ai	㵺		pai4		
ai	䔽		ai4		
ai	䰂		cai3		
ai	䰂		cai4		
ai	䳚		kai4		
ai	擺	摆	bai3		
ai	犡		lai4		
ai	簣	篑	kuai4		
ai	聵	聩	wai4		
ai	蠆	虿	chai4		
ai	贁		bai4		
ai	蹛		dai4		
ai	鎧	铠	kai3		
ai	鎧	铠	kai4		
ai	鎩	铩	shai4		
ai	闓		kai3		
ai	闓		kai4		
ai	馤		ai4		
ai	鵣		lai4		
ai	壞	坏	huai4		
ai	壞	坏	kuai4		
ai	瀣		hai4		
ai	瀣		xai4		
ai	瀨	濑	lai4		
ai	礙	碍	ai4		
ai	簺		sai4		
ai	藹	蔼	ai4		
ai	藾		lai4		
ai	韝		bai4		
ai	颽		kai3		
ai	齘		xai4		
ai	㸊		lai4		
ai	䜕		mai4		
ai	䜕		xai4		
ai	矲		bai3		
ai	糲	粝	lai4		
ai	譮		xai4		
ai	顡		chuai4		
ai	䄤		lai4		
ai	䵘		shai4		
ai	譺		yai4		
ai	癩	癞	lai4		
ai	㶔		bai4		
ai	灑	洒	shai3		
ai	籟	籁	lai4		
ai	蘾		huai4		
ai	黱		dai4		
ai	齂		xai4		
ai	䥯		bai3		
ai	䪥		xai4		
ai	䴝		chuai4		
ai	曬	晒	shai4		
ai	纔	才	zai4		
ai	躛		huai4		
ai	靆		dai4		
ai	鷶		mai3		
ai	䵳		wai4		
ai	靄	霭	ai4		
ai	靉		ai4		
ai	躧		shai3		
ai	䲚		lai4		
ai	䶐		wai4		
ai	𠂢		pai4		
ai	𠌰		gai4		
ai	𠢲		qai3		
ai	𠨴		jai4		
ai	𠱡		shai4		
ai	𠷂		dai4		
ai	𠻜		shuai4		
ai	𠽶		chuai4		
ai	𡂖		lai4		
ai	𡌪		kuai4		
ai	𡍖		dai4		
ai	𡎯		huai4		
ai	𡘌		xai4		
ai	𢄔		dai4		
ai	𢕮		zhuai4		
ai	𢗊		xai4		
ai	𢞐		hai4		
ai	𢞝		sai4		
ai	𢟡		bai3		
ai	𢟡		bai4		
ai	𢟪		ai4		
ai	𢟰		yai4		
ai	𢣏		ai4		
ai	𢷎		bai4		
ai	𣀤		kuai4		
ai	𣃍		chuai4		
ai	𣉘		nai4		
ai	𣋞		ai4		
ai	𣎵		pai4		
ai	𣏕		pai4		
ai	𣝁		pai4		
ai	𣞖		cai4		
ai	𣟉		huai4		
ai	𣡖		bai4		
ai	𣤌		chuai4		
ai	𣩱		ai4		
ai	𣸎		huai4		
ai	𣿐		zai4		
ai	𤈪		qai4		
ai	𤡧		xai4		
ai	𤵽		hai4		
ai	𤶗		yai3		
ai	𤸶		bai4		
ai	𥎆		kai4		
ai	𥏪		qai3		
ai	𥑋		kuai4		
ai	𥝌		ai4		
ai	𥩲		hai4		
ai	𥴨		ai4		
ai	𥵊		kuai4		
ai	𥿯		pai4		
ai	𦖥		wai4		
ai	𦗐		yai4		
ai	𦤦		hai4		
ai	𦤧		zhai4		
ai	𦩋		bai4		
ai	𦳋		kuai4		
ai	𧏹		yai4		
ai	𧜁		shai4		
ai	𧡋		yai3		
ai	𧪘		chai4		
ai	𧰿		ai4		
ai	𧱘		mai4		
ai	𧱳		huai4		
ai	𧳋		zhai4		
ai	𨇆		lai4		
ai	𨚵		zai4		
ai	𨜴		kai4		
ai	𨝋		zhai4		
ai	𨠾		dai4		
ai	𨢦		shai4		
ai	𨦂		lai3		
ai	𨽿		dai4		
ai	𩌦		shai3		
ai	𩔀		wai4		
ai	𩛥		zai4		
ai	𩡺		jai4		
ai	𩫀		kai4		
ai	𩹄		hai4		
ai	𩹟		nai4		
ai	𪇭		cai4		
ai	𪐄		bai4		
ai	𪐝		dai4		
ai	𪕭		ai4		
韻	字	簡化字	推導音	校正音	罕用標記	註
ang	匚		fang1		
ang	尢		wang1		
ang	亢		gang1		
ang	尣		wang1		
ang	方		fang1		
ang	央		yang1		
ang	夯		xang1		
ang	㠵		huang1		
ang	光		guang1		
ang	匡		kuang1		
ang	巟		huang1		
ang	扛		jang1		
ang	江		jang1		
ang	灮		guang1		
ang	邟		kang1		
ang	邡		fang1		
ang	邦		bang1		
ang	㲽		shang1		
ang	佒		ang1		
ang	囪	囱	chuang1		
ang	坊		fang1		
ang	妝	妆	zhuang1		
ang	妨		fang1		
ang	尪		wang1		
ang	忼		hang1		
ang	杠		jang1		
ang	汪		wang1		
ang	汸		fang1		
ang	玒		jang1		
ang	皀		xang1		
ang	羌		qang1		
ang	肓		huang1		
ang	肛		jang1		
ang	肛		xang1		
ang	芳		fang1		
ang	苀		gang1		
ang	迒		gang1		
ang	㰠		hang1		
ang	㹧		ang1		
ang	㽵		zhuang1		
ang	侊		guang1		
ang	劻	匡	kuang1		
ang	咉		ang1		
ang	姎		ang1		
ang	岡	冈	gang1		
ang	戕		zang1		
ang	斨		ciang1		
ang	昌		chang1		
ang	枋		fang1		
ang	泱		yang1		
ang	炕		hang1		
ang	牥		fang1		
ang	牨		gang1		
ang	矼		jang1		
ang	肪		fang1		
ang	肮		ang1		
ang	邼		kuang1		
ang	㡆		huang1		
ang	䄱		fang1		
ang	匨		zang1		
ang	垙		guang1		
ang	垹		bang1		
ang	姜		jang1		
ang	恇		kuang1		
ang	恍		guang1		
ang	桒		sang1		
ang	殃		yang1		
ang	洭		kuang1		
ang	洸		guang1		
ang	洸		wang1		
ang	相		siang1		
ang	缸		gang1		
ang	胦		yang1		
ang	舡		xang1		
ang	茪		guang1		
ang	茳		jang1		
ang	荒		huang1		
ang	衁		huang1		
ang	香		xang1		
ang	䄃		yang1		
ang	䍧		zang1		
ang	䜫		jang1		
ang	倀	伥	chang1		
ang	倉	仓	cang1		
ang	倡		chang1		
ang	剛	刚	gang1		
ang	样		zang1		
ang	桄		guang1		
ang	框		kuang1		
ang	桑		sang1		
ang	梆		bang1		
ang	淓		fang1		
ang	猐		qang1		
ang	畕		jang1		
ang	眏		ang1		
ang	秧		yang1		
ang	笐		gang1		
ang	罡		gang1		
ang	胮		pang1		
ang	胱		guang1		
ang	莊	庄	zhuang1		
ang	蚄		fang1		
ang	豇		jang1		
ang	䀮		huang1		
ang	商		shang1		
ang	啌		xang1		
ang	堈		gang1		
ang	娼		chang1		
ang	將	将	ciang1		
ang	將	将	ziang1		
ang	崆		qang1		
ang	崗	岗	gang1		
ang	康		kang1		
ang	張	张	zhang1		
ang	悾		qang1		
ang	掆		gang1		
ang	控		qang1		
ang	涳		qang1		
ang	猖		chang1		
ang	眶		kuang1		
ang	窓		chuang1		
ang	章		zhang1		
ang	菖		chang1		
ang	趽		fang1		
ang	鄉	乡	xang1		
ang	釭		jang1		
ang	㓻		gang1		
ang	䒰		kuang1		
ang	䖱		kuang1		
ang	傖	伧	cang1		
ang	凔		cang1		
ang	創	创	chuang1		
ang	喪	丧	sang1		
ang	堫		chuang1		
ang	廂	厢	siang1		
ang	椌		qang1		
ang	湘		siang1		
ang	湯	汤	shang1		
ang	湯	汤	tang1		
ang	犅		gang1		
ang	琩		chang1		
ang	窗		chuang1		
ang	筐		kuang1		
ang	腔		qang1		
ang	葙		siang1		
ang	鈁	钫	fang1		
ang	雱		pang1		
ang	㾤		qang1		
ang	䊋		zhuang1		
ang	傷	伤	shang1		
ang	僙		guang1		
ang	嗆	呛	ciang1		
ang	堽		gang1		
ang	搶	抢	ciang1		
ang	滂		pang1		
ang	滄	沧	cang1		
ang	牎		chuang1		
ang	當	当	dang1		
ang	畺		jang1		
ang	禓		shang1		
ang	蒼	苍	cang1		
ang	蜣		qang1		
ang	裝	装	zhuang1		
ang	裮		chang1		
ang	跫		qang1		
ang	軭		kuang1		
ang	輄		guang1		
ang	鄣		zhang1		
ang	鉠		yang1		
ang	障		zhang1		
ang	㝩		kang1		
ang	㼹		kang1		
ang	㼹		qang1		
ang	塲		shang1		
ang	墇		zhang1		
ang	嫜		zhang1		
ang	嶈		ciang1		
ang	彰		zhang1		
ang	慞		zhang1		
ang	慯		shang1		
ang	戧	戗	chuang1		
ang	摐		chuang1		
ang	摪		ziang1		
ang	槍	枪	ciang1		
ang	漮		kang1		
ang	漲	涨	zhang1		
ang	漳		zhang1		
ang	牄		ciang1		
ang	獐		zhang1		
ang	瑲		ciang1		
ang	粻		zhang1		
ang	綱	纲	gang1		
ang	羫		qang1		
ang	臧		zang1		
ang	蔁		zhang1		
ang	蔏		shang1		
ang	蔣	蒋	ziang1		
ang	薌	芗	xang1		
ang	㱂		kang1		
ang	䎫		chuang1		
ang	䯑		kuang1		
ang	僵		jang1		
ang	儅	当	dang1		
ang	憃		chuang1		
ang	暲		zhang1		
ang	槺		kang1		
ang	樁	桩	zhuang1		
ang	樟		zhang1		
ang	殤	殇	shang1		
ang	漿	浆	ziang1		
ang	璋		zhang1		
ang	瘡	疮	chuang1		
ang	磅		pang1		
ang	箱		siang1		
ang	緗	缃	siang1		
ang	膷		xang1		
ang	蝪		tang1		
ang	谾		xang1		
ang	魧		gang1		
ang	鴋		fang1		
ang	䄝		chuang1		
ang	䐠		hang1		
ang	壃		jang1		
ang	橫	横	guang1		
ang	穅		kang1		
ang	篬		ciang1		
ang	縍		bang1		
ang	艙	舱	cang1		
ang	薑	姜	jang1		
ang	薚		tang1		
ang	踼		tang1		
ang	鄺	邝	huang1		
ang	鋼	钢	gang1		
ang	錆	锖	ciang1		
ang	閶	阊	chang1		
ang	霙		yang1		
ang	餦		zhang1		
ang	鴦	鸯	ang1		
ang	鴦	鸯	yang1		
ang	㹔		jang1		
ang	䗧		kang1		
ang	幫	帮	bang1		
ang	橿		jang1		
ang	檔	档	dang1		
ang	殭	僵	jang1		
ang	璫		dang1		
ang	盪	荡	tang1		
ang	糠		kang1		
ang	螪		shang1		
ang	螿		ziang1		
ang	襄		siang1		
ang	謒		ciang1		
ang	蹌	跄	ciang1		
ang	霜		shuang1		
ang	㼕		dang1		
ang	䚎		chuang1		
ang	䨦		pang1		
ang	礓		jang1		
ang	簜		tang1		
ang	襠	裆	dang1		
ang	觴	觞	shang1		
ang	蹡		ciang1		
ang	躿		kang1		
ang	鎊	镑	pang1		
ang	雙	双	shuang1		
ang	鞤		bang1		
ang	䗵		jang1		
ang	瀧	泷	shuang1		
ang	疆		jang1		
ang	簹		dang1		
ang	繮		jang1		
ang	蟷		dang1		
ang	鏘	锵	ciang1		
ang	鏜	镗	tang1		
ang	鏦		chuang1		
ang	闛		tang1		
ang	顙	颡	ciang1		
ang	鯧	鲳	chang1		
ang	䵮		shang1		
ang	孀		shuang1		
ang	忀		siang1		
ang	欀		siang1		
ang	瓖	镶	siang1		
ang	贓	赃	zang1		
ang	鐺	铛	dang1		
ang	霶		pang1		
ang	騻		shuang1		
ang	髒	脏	zang1		
ang	鶬		cang1		
ang	鶬		ciang1		
ang	鼚		chang1		
ang	韁	缰	jang1		
ang	鱂		ziang1		
ang	鷞		shuang1		
ang	麞		zhang1		
ang	䵼		shang1		
ang	纕		siang1		
ang	蠰		shuang1		
ang	䉶		shuang1		
ang	艭		shuang1		
ang	鼞		tang1		
ang	䝄		shuang1		
ang	鑲	镶	siang1		
ang	饟	饷	shang1		
ang	驤	骧	siang1		
ang	驦		shuang1		
ang	鸘		shuang1		
ang	𠛂		chuang1		
ang	𠥐		cang1		
ang	𠸶		sang1		
ang	𡸓		qang1		
ang	𢥠		shuang1		
ang	𢪇		ziang1		
ang	𣂆		pang1		
ang	𣆖		huang1		
ang	𣺬		huang1		
ang	𣻛		zhuang1		
ang	𤟄		qang1		
ang	𤭛		gang1		
ang	𤮊		kang1		
ang	𤰫		bang1		
ang	𤳈		shang1		
ang	𤵸		pang1		
ang	𥉽		kang1		
ang	𥍷		chuang1		
ang	𥏻		shang1		
ang	𥏻		ciang1		
ang	𥡃		huang1		
ang	𥡟		chuang1		
ang	𥿼		huang1		
ang	𦅇		sang1		
ang	𦡁		dang1		
ang	𦳝		chang1		
ang	𦳝		tang1		
ang	𧅁		jang1		
ang	𧜧		chuang1		
ang	𧢸		jang1		
ang	𧧢		huang1		
ang	𧧮		huang1		
ang	𧲱		ang1		
ang	𧶜		shang1		
ang	𧼮		tang1		
ang	𨄚		ciang1		
ang	𨇯		shuang1		
ang	𨋪		xang1		
ang	𨎩		guang1		
ang	𨎴		dang1		
ang	𨢐		bang1		
ang	𨶆		ciang1		
ang	𨻷		kang1		
ang	𩀞		cang1		
ang	𩌬		zhang1		
ang	𩐨		pang1		
ang	𩢼		kuang1		
ang	𩣐		huang1		
ang	𩦌		sang1		
ang	𩧉		guang1		
ang	𩩝		qang1		
ang	𩬹		kuang1		
ang	𪁘		wang1		
ang	𪄲		shang1		
ang	𪅂		zhang1		
ang	𪐿		pang1		
ang	𪔔		pang1		
ang	𪙝		ciang1		
ang	亡		wang2		
ang	亾		wang2		
ang	卬	昂	ang2		
ang	方		fang2		
ang	王		wang2		
ang	疒		chuang2		
ang	邙		mang2		
ang	邙		wang2		
ang	吂		mang2		
ang	夅		xang2		
ang	忙		mang2		
ang	汒		mang2		
ang	羊		yang2		
ang	芒		mang2		
ang	芒		wang2		
ang	邟		hang2		
ang	防		fang2		
ang	行		hang2		
ang	㞷		kuang2		
ang	吭		hang2		
ang	坊		fang2		
ang	尨		mang2		
ang	床		chuang2		
ang	彷		pang2		
ang	彺		wang2		
ang	抗		hang2		
ang	杗		mang2		
ang	杗		wang2		
ang	沆		hang2		
ang	狂		kuang2		
ang	苀		hang2		
ang	迒		hang2		
ang	良		liang2		
ang	佯		ciang2		
ang	佯		yang2		
ang	坣		tang2		
ang	尚		chang2		
ang	戕		ciang2		
ang	房		fang2		
ang	房		pang2		
ang	昂		ang2		
ang	杭		hang2		
ang	枊		ang2		
ang	牀		chuang2		
ang	肪		fang2		
ang	肮		hang2		
ang	長	长	chang2		
ang	降		xang2		
ang	㟅		yang2		
ang	厖		mang2		
ang	庠		siang2		
ang	徉		yang2		
ang	恾		mang2		
ang	昜		yang2		
ang	洋		siang2		
ang	洋		yang2		
ang	洚		xang2		
ang	皇		huang2		
ang	缸		xang2		
ang	茫		mang2		
ang	逄		pang2		
ang	㝗		lang2		
ang	㟌		mang2		
ang	㟍		lang2		
ang	䍿		huang2		
