aqchiuqxi 阿屈死
budoenga 孵頭芽
badoengan 牌頭硬
bidawan 皮大王
beeu 背暗
befaq 辦法
beka 陪嫁
bendi 坌地
benfu 体夫
bentse 盆菜
bentzy 盆子
beqdo 葡萄
beqxian 孛相
beqji 孛薺
bauelsoe 扒兒手
besy 背書
beudi 盤鈿
beuka 伴嫁
beutzy 盤子
beuzeu 盤纏
beyan 培養
bifondoe 避風頭
bifondon 被風洞
biqgninka 別人家
baqgnioqle 白玉蘭
boiqda 跑一埭
bide 皮蛋
bidoe 被頭
bifu 皮膚
binku 蘋果
binrau 評話
bintzy 瓶子
binzan 平常
biqbau 枇杷
biqciaq 蹩腳
biqcin 擗筋
biqdoe 鼻頭
biqgnin 別人
biqio 蹩腰
biqlian 鼻樑
biqreq 別個
biqtaq 別墶
biqthi 鼻涕
biqtzen 別針
biqu 鼻屙
biqu 鼻污
bira 皮鞋
bitan 便當
bite 被單
bithaq 疲塌
bitheq 疲脫
bitheq 鐾脫
bicioe 啤酒
bitzy 辮子
bijian 皮匠
bizo 肥皂
bekaka 辦家家
binkuloq 蘋果綠
bankhoqmira 蚌殼棉鞋
baqkhesy 白開水
bekonseq 辦公室
bikaqtzy 皮夾子
baqkautzy 白瓜子
binkautzeq 蘋果汁
bankhoqcin 碰哭精
beqlendoe 勃倫頭
bilohu 皮老虎
baqlikau 白梨瓜
biqliankueq 鼻樑骨
biqmiodoe 別苗頭
baqmihau 白米花
bamenpe 排門板
banngaqkueqdoe 碰額骨頭
baqngecin 白眼睛
bodjiun 抱裙
bohau 刨花
bonson 蓬鬆
bonzen 塳塵
boqtseu 薄脆
bora 跑鞋
bupobe 蒲包爿
banpidoe 旁邊頭
popeneu 寶貝囝
popexinkeu 寶貝心乾
bauxibauweq 爬死爬活
baqxiangnin 白相人
baqxiankeu 白相乾
baqxianxian 白相相
baqxianxin 白相心
basewuthu 排三和土
biqcinbiqtseq 蹩進蹩出
baqtzeci 白劗雞
beutseqchi 盤出去
biqtaqli 別墶裏
biqthisy 鼻涕水
bitzyso 辮子梢
bitsaqthi 皮拆天
banteqtisa 碰得點啥
biqthizon 鼻涕蟲
bubu 婆婆
budo 葡萄
biqukeu 鼻污乾
bupo 蒲包
buseu 蒲扇
buxioci 孵小雞
buxioci 伏小雞
butzy 簿子
banveqban 碰勿碰
boveqciaq 抱佛腳
binvanke 病房間
biqveqtzeu 別勿轉
beveqto 辦勿到
biqveqzaq 別勿着
biwandoe 被橫頭
banyoedoli 朋友道理
beuyamho 蟠野貓
baqjiaqchiu 白嚼蛆
baqzaqde 白煠蛋
beuzeudondi 盤纏銅鈿
baujianmoqpiq 爬牆摸壁
beuzanchioqciq 蟠腸曲節
ciaqauau 腳枒枒
chiqaqde 吃鴨蛋
ciaqbanciaq 腳碰腳
chiqbadoe 吃牌頭
chiobitzy 翹辮子
chiqbetzan 吃賠帳
chiqbaqzeq 吃白食
chiciqhanhan 氣急夯夯
cincinlhalha 筋緊拉拉
chiqchiqngu 吃吃我
ciaqchioeue 腳丘彎
chidoebi 牽頭皮
ciudoefon 鬼頭風
kodohauyun 交桃花運
chiqdinxinweu 吃定心丸
ciaqdaqtsau 腳踏車
chiqdoethaq 吃頭塔
chiqdoevu 吃頭腐
cifentzon 幾分鐘
chifonyindoe 牽風引頭
ciafezaqleu 家翻宅亂
chignioebiqdoe 牽牛鼻頭
chiqgaqdoe 吃軋頭
chiqgnikuan 吃耳光
chiqgaqtzan 吃軋帳
cigniyeu 檢驗員
chianpin 羌餅
chiansy 腔勢
chici 牽記
chici 契機
chicin 起勁
chicioe 起九
chidjioe 氣球
chidoe 牽頭
chigni 去年
chile 起來
chiliq 氣力
chilon 牽礱
chimhen 氣悶
chingnioe 撳鈕
chinkhon 傾空
chintin 撳釘
chiociaq 蹺腳
chioeyin 蚯蚓
chioezy 龜兹
chioku 巧果
chiomio 巧妙
chioqzeu 曲蟮
chiqchiq 吃吃
chiqte 契丹
chiqka 吃價
chiqkhoe 吃口
chiqkhue 吃虧
chiqliq 吃力
chiqlo 齕牢
chiqmeq 吃沒
chiqna 吃奶
chiqpiq 吃癟
chiqseu 吃酸
chiqtzen 吃准
chiqcin 吃進
chiqve 吃飯
chiqxian 吃香
chiqyaq 吃藥
chiqzau 吃茶
chixi 起先
chisu 氣數
chisy 汽水
chitsau 汽車
chitza 欠債
chiuqdan 缺蕩
chiuqkhoe 缺口
chiuqxi 屈死
chiuqtzy 缺嘴
chiuteq 虧得
chivu 欺侮
chivu 起霧
chizo 起潮
ciaqhauleu 腳花亂
chiqhutsau 吃火車
cianwan 薑黃
ciaqdon 腳桶
ciaqhau 腳花
ciaqken 腳跟
ciaqng 甲魚
ciaqpe 腳背
ciaqphan 腳髈
ciaqpi 腳匾
ciaqti 腳底
ciaqtzo 腳爪
ciazy 假如
cichi 機器
cide 雞蛋
cidu 季度
cieudoe 絹頭
cignian 寄娘
cignin 記認
cigniq 搛鑷
cihau 幾化
cikaq 肩胛
cikue 機關
cindeu 金糰
cindo 勁道
cingni 今年
cinli 經理
cinliq 經歷
cintsaq 警察
cintzen 金針
cintzo 今朝
cintzy 景致
cintzy 鏡子
cinyon 經用
cioin 叫應
ciocieu 膠捲
ciodoe 澆頭
cioedji 九件
cioegni 九年
cioein 句嬰
cioereq 九個
ciognio 叫饒
ciokue 交關
ciopi 叫扁
cioqhau 菊花
cioqron 桔紅
ciuqron 橘紅
cioqtzy 桔子
ciuqtzy 橘子
ciuqwan 橘黃
cioqwan 桔黃
cioseq 教室
cioxiun 教訓
cioze 教材
cipan 肩膀
ciqhuen 結婚
ciqkuen 結棍
ciqpin 結冰
ciqtzaq 結紮
ciqtzoq 結足
ciqtzy 結蛛
ciro 記號
cixin 記性
citia 寄爹
citse 搛菜
ciulo 鬼老
ciunkhe 軍艦
ciunli 菌痢
ciuqchi 赶起
ciuqdin 決定
ciuqteu 決斷
ciuqto 厥倒
ciuyeu 枸櫞
ciwe 機會
cizau 檢查
cizy 幾時
ciaqkociaqti 腳高腳低
chinkueqdoe 輕骨頭
ciokuku 叫哥哥
ciaqkhukueq 腳骷骨
chiokheqliq 巧克力
chiqkuanl§kuan 吃光光
chiqkueusy 吃官司
chiqkueusygnin 吃官司人
chiqkaqtan 吃夾檔
ciaqkhuetzy 腳盔子
cinkuanzanlian 金光鋥亮
chiqlaqhucian 吃辣火醬
chiqlopen 吃老本
chiolose 翹老三
chiqlocioe 吃老酒
cinlintzy 金蛉子
cimobiseq 鑒貌辨色
ciumiciunge 鬼眉鬼眼
ciomincioxin 叫名叫姓
ciaqmeudoe 腳饅頭
chiqmauledoe 吃麻蘭頭
chiqmauliqtzy 吃麻栗子
cioemintsau 救命車
cimati 寄賣店
cimotse 雞毛菜
cimotetzoe 雞毛撢帚
cinngnge 金魚眼
ciaqoo 腳坳坳
cieuphuke 捲鋪蓋
chiqphiku 吃屁股
ciupiqkatzy 舉壁架子
chioepiqse 恘癟三
ciurautsaq 鬼畫冊
chiqxinchiqkhu 吃辛吃苦
cinsancinsy 今生今世
chixichiweq 氣死氣活
cinxilu 金線路
chisypeden 牽絲扳藤
chiqxipoqfon 吃西北風
chisanxin 氣傷心
cieuxintse 卷心菜
chieuxiantan 勸相打
chiqsanweq 吃生活
ciaqciqdoe 腳節頭
ciaqtzydoe 腳指頭
citzofon 雞爪瘋
ciaqciqkhaq 腳節甲
ciaqtzykhaq 腳指甲
chiqteqkhe 吃得開
chitzoloqya 起早落夜
cincinng 金睛魚
cincing 金鯽魚
ciaqtipe 腳底板
chiotzypau 翹嘴巴
ciutsoqpipau 鬼觸臂把
ciuqtzysy 橘子水
cioqtzysy 桔子水
chiqcioesy 吃酒水
citsysefe 幾次三番
chiqtzaqzoeyon 吃着受用
cintzotzy 今朝仔
chiveqku 氣勿過
chiqveke 吃飯間
chiqvekasan 吃飯家生
chiqveqlo 吃勿牢
chiqveqloq 吃勿落
chiqveqxio 吃勿消
chiqveqseqdoe 吃勿識頭
chiqveqtheq 吃勿脫
cinveueu 金飯碗
chiqvezenkuan 吃飯辰光
chiqwedoetso 吃回頭草
cioewutsau 救護車
cinwuzon 金胡蟲
cinwanzanlian 金黃鋥亮
chiqxiani 吃香煙
chiqxicioe 吃喜酒
sycio 水餃
chiqyazeq 吃野食
chizendoe 起陣頭
cinzaqkau 金石瓜
ciazanliteu 家長裏短
chiqzoecioe 吃壽酒
ciazanve 家常飯
dabi 大便
dadoe 汏頭
duaqfoq 大阿福
dago 大絞
dahan 大亨
daieu 大宛
daka 大家
dake 大概
dalu 大路
daluhu 大路貨
danlu 堂鑼
dantzan 宕帳
dapaq 大伯
dapin 大餅
daroq 大學
daseu 大蒜
dasoe 汏手
dathe 大腿
datse 大菜
daxi 大喜
dayoq 汏浴
djibadoe 掮牌頭
djionbandjiq 窮碰極
doqfanbu 踱方步
diqbagnin 迭牌人
dabiko 大被告
dubakueq 大排骨
donbenmo 銅盆帽
dubinge 肚皮眼
dubithon 肚皮痛
dubaqthilian 大白天亮
debanyoe 談朋友
dubiza 肚皮射
duciaqfon 大腳瘋
dujinge 肚臍眼
doqciaqha 獨腳蟹
ducinizan 大襟衣裳
deciqkuaqlaq 淡潔刮辣
duciaqphan 大腳髈
duchieutzy 大圈子
doecintho 頭頸套
didubi 填肚皮
dudubi 大肚皮
didoeciaqken 地頭腳跟
dudoeduno 大頭大腦
djieudoefaq 鬈頭髮
dondignintzy 銅鈿銀子
dudjingon 大勤共
diodoeko 條頭糕
djiandoedjiuqno 強頭倔腦
dondonnge 洞洞眼
djiandophe 強盜坯
doqdoepauxi 踱頭把戲
djiodjisau 喬奇紗
djieudoesoqcin 踡頭縮頸
doedoetzeu 頭頭轉
deudeutzeu 團團轉
dudjioetzy 大舅子
dindinxiqxiq 停停歇歇
didoezaqci 田頭宅基
dudujigniq 大大前日
dengan 臺硬
dedjioe 檯球
dedoe 臺頭
dehoe 痰吼
dehuan 蛋肓
deko 蛋糕
deme 怠慢
deni 藤椅
denkon 臀疘
denthaq 藤榻
depe 檯板
deqbiq 特別
deqtheq 奪脫
deqwe 特為
dexi 苔蘚
dechin 蛋青
detzy 檯子
deuchi 斷氣
deuci 團几
deuken 斷根
deumin 毈命
deuna 斷奶
deutan 斷檔
deutheq 斷脫
deutzy 糰子
dewan 蛋黃
deyu 痰盂
doefaqdeu 頭髮團
difonseu 電風扇
doefaqtzeu 頭髮簪
doqgniqdoe 毒日頭
dugnindoli 大人道理
doegninsen 投人身
dugniseseq 大年三十
dagnisezeq 大年三十
djioegnitzy 舊年仔
dugnitsuiq 大年初一
dugniya 大年夜
daholo 大好佬
diohauchian 調花槍
diin 電影
dibi 墊被
dibi 地皮
dichi 地氣
dici 田雞
dide 電臺
didi 弟弟
didoe 甜頭
didon 地動
didon 提桶
difan 地方
dilan 地浪
dili 地梨
dili 田裏
diliq 地栗
daiaqmoq 大約摸
dimoq 題目
dincin 定金
dinkue 定規
dino 電腦
dintan 定當
dinyan 定洋
dioba 調排
diodoe 調頭
diokan 調羹
diotzy 條子
dipe 地板
diqdoe 迭頭
diqmi 糴米
diqnge 迭眼
diqreq 迭個
diqtaq 迭墶
diqtzy 碟子
diqwe 迪為
diqxiq 迭歇
dixi 電線
ditsan 提倡
ditsau 電車
ditzen 地震
ditzy 地主
divan 填房
diinyeu 電影院
diyan 地陽
djiakheqse 茄克衫
djindo 勁道
djioegni 舊年
djioegnio 求饒
djioemha 舅媽
djiogaq 撟軋
djionwu 窮禍
djioqzen 軸承
djiotsau 轎車
djiqkhoq 極酷
djisoe 揵手
djitzy 棋子
djitzy 忌嘴
djiuli 距離
djiunkhu 裙褲
djiuntzy 裙子
djivon 騎縫
djiqkhoqbi 極殼皮
dukadutan 大家大當
dukugnian 大姑娘
denkhoi 藤靠椅
denkoi 藤交椅
dankhoepe 盪口杯
dikhoxian 電烤箱
djionkhexin 窮開心
dokaqse 盜隔山
doqkeutzy 獨乾子
djiuloqbu 俱樂部
djiqlidjiqhoe 極裏極呴
delie 談戀愛
daluhu 大路貨
diliqko 地力糕
dilunge 田螺眼
delose 抬老三
dilusu 甜蘆黍
deuloqchin 斷六親
diolonten 調龍燈
dulithon 肚裏痛
duliza 肚裏射
doqmendoqwu 獨門獨戶
danmaulu 趤馬路
domilu 淘米籮
dumhamha 大媽媽
doqmenxinsy 獨門心思
donnocin 動腦筋
doengdoeloq 投五投六
doqngelon 獨眼龍
dengeloqcin 彈眼落睛
doenotzy 頭腦子
dengecin 彈眼睛
dengeutzy 彈眼烏珠
dobeu 道伴
dodi 道地
doelu 頭腡
doebi 頭皮
doecin 頭頸
doecin 頭巾
doedu 頭大
doefaq 頭髮
doelan 頭浪
doemi 頭面
doemin 投命
doepe 頭板
doesan 頭生
doethaq 頭塔
doethe 頭胎
doethio 頭挑
doechin 豆青
doetzy 骰子
doetzy 頭子
doevu 豆腐
doewen 頭渾
dokoq 稻穀
doli 道理
dolu 淘籮
domi 淘米
donnge 洞眼
donchi 動氣
dondi 銅鈿
donkon 洞疘
donmen 動問
donpe 銅板
donroq 同學
donteq 動得
dontio 銅銚
donjian 銅匠
donzy 同事
dope 桃板
doqdoe 踱頭
doqfoq 獨幅
doqsy 讀書
doqtu 獨多
doran 道行
dothan 淘湯
doci 稻穧
dotzy 桃子
dozeu 稻穗
dozy 道是
dupaqpaq 大伯伯
dipinxian 電冰箱
duphantzy 大胖子
dapinthe 大餅攤
daqpichin 踏扁青
duroegniq 大後日
danraule 宕下來
danwuzeu 蕩河船
dixincin 提心旌
djionxidjiqxian 窮死極想
duxigniq 度死日
desehecin 談山海經
dinsenko 定勝糕
diximoqdoe 電線木頭
doesauseq 豆沙色
dixinvu 弟新婦
desyji 談舒齊
detzybeu 彈子盤
dontzyci 童子雞
ditodoe 墊刀頭
diotzeudoe 調轉頭
duthedupe 大推大扳
doechiqdoepaq 投七投八
dutzydusen 徒子徒孫
deqcindeqtseq 凸進凸出
diochianhau 調槍花
doetzyhaqnge 頭珠瞎眼
dintzyke 亭子間
datseke 大菜間
djitseqkuayan 奇出怪樣
diqtaqli 迭墶裏
doetsuli 頭初裏
ditsaulu 電車路
duchinlotzo 大清老早
dantzypau 盪嘴巴
dutzypau 大嘴巴
duthepe 大推扳
daqtseuroqke 踏穿鑊蓋
duchintzo 大清早
danchioechi 盪鞦韆
doetintose 頭頂倒三
dutzutzytzan 杜做主張
djiqtsequlha 極出烏拉
detsove 蛋炒飯
docianwu 淘漿糊
duba 大排
dubi 肚皮
ducieu 杜鵑
ducieuhau 杜鵑花
dudi 徒弟
duga 大骱
dugni 大年
dugniuq 大月
dumi 大米
duphan 大髈
dupe 駝背
duxi 度死
duxi 大細
duxin 大汛
dusy 大水
dusy 圖書
duthe 大腿
dutse 大菜
dutzan 圖章
ducia 大姐
daci 大姐
dutzy 駝子
duyuq 大月
duzan 肚腸
duzy 大廚
doevucikaq 豆腐肩胛
doevuhau 豆腐花
doevui 豆腐衣
doevukeu 豆腐乾
doevucian 豆腐漿
duveqtedoe 大勿對頭
doevucianthe 豆腐漿攤
doevuve 豆腐飯
donveqyeu 動物園
doewanphu 投黃浦
djianxiondjiqoq 強兇極惡
djionxindjionrau 窮興窮下
dexiankele 檀香橄欖
diqxiqli 迭歇裏
diqxiqzenkuan 迭歇辰光
djiqyindjiqzan 極形極狀
doqyangnitzy 獨養兒子
dayoqke 汏浴間
deyukueu 痰盂罐
duyimhmha 大姨姆媽
dizyci 電視機
djijiandoe 騎牆頭
duzeqdoe 大舌頭
dujigniq 大前日
duzaqha 大煠蟹
duzanken 肚腸根
dujinge 肚臍眼
duzoxin 大潮汛
deqzatu 疊柴垛
dojintzoqloq 陶情作樂
duzanyan 肚腸癢
eudoeli 闇頭裏
eulimoqsoq 闇裏摸索
ellanthe 二郎腿
eulixian 闇裏向
emi 哀面
emitaq 哀面墶
ereq 哀個
ereqzenkuan 哀個辰光
euxinloqi 安心樂意
etaq 哀墶
eti 哀點
etaqli 哀墶裏
euue 安慰
euba 安排
eudin 安定
eusan 安生
exiq 晏歇
exiqti 晏歇點
exiqwe 晏歇會
exiqzenkuan 哀歇辰光
fansan 放生
fanten 方凳
fanthe 方腿
fantio 放刁
faqdio 發條
faqdjiq 發極
faqdoq 發踱
faqhoe 發呴
faqkaq 發格
faqnge 發呆
faqngoqtzy 發瘧子
faqsau 發痧
faqsen 發身
faqso 發騷
faqtia 發嗲
faqtsy 發痴
faqxiuq 發噱
faqyoq 發育
faqjin 發情
faqbichi 發脾氣
fenbignitu 粉皮耳朵
fanbaqkeq 放白鴿
febaqnge 翻白眼
feciaqti 翻腳底
fondoelan 風頭哴
fega 番茄
fenci 畚箕
fendoe 分頭
fenkhe 分開
fentzon 分鐘
fetheq 翻脫
feto 反倒
fingu 飛蛾
fibin 肺病
fici 飛機
fekendoe 翻跟頭
faqkofen 發酵粉
fankumen 放過門
faqkueqngudon 法國梧桐
faqkueqtonchin 法國冬青
faqlandoe 發冷頭
feleloqchi 翻來碌去
fonlianrerau 風涼言話
fonlianratzy 風涼鞋子
faqlanxin 發冷訊
feloti 翻老底
felotzan 翻老帳
femochian 翻毛腔
foncin 風景
fongni 豐年
fonlian 風涼
fonseq 風色
fonthe 風癱
fontzen 風箏
fontzy 瘋子
fonzo 風潮
foqchi 福氣
foqin 複印
foqven 福份
foqjiq 複習
fonpodoe 風報頭
ferandoe 翻行頭
faqreugniq 發寒熱
faqxifon 發西風
fanxinthoqte 放心托膽
fantzeqgnian 紡織娘
fetsognikuan 反抄耳光
fontzenkhue 風疹塊
fudoe 斧頭
fugnin 夫人
fanveroq 放飯學
faqwanze 發橫材
fanyiiqmau 放伊一碼
fanyaroq 放夜學
fonyuxiqloq 風雨雪落
faqzencin 發神經
gamen 懈門
gandu 戇大
gaqdo 軋道
gaqlo 軋牢
gaqtsau 軋叉
gaqtzy 夾子
gaciq 骱節
gatzy 鋸子
gatzy 茄子
gebadoe 隑牌頭
gnioebidan 牛皮糖
gnibusaq 泥菩薩
gaqbanyoe 軋朋友
gnibonzen 泥塳塵
gnicigniuqsan 年紀月生
gnieuciaqha 軟腳蟹
gniciaqpidoe 年腳邊頭
gniciyuqsan 年紀月生
godoecin 搞頭勁
gaqdoci 軋稻機
gnidede 泥潭潭
gniaqdjeudoe 捏拳頭
gniqdudoehuen 熱大頭昏
gendoegenno 耿頭耿腦
gniqdoeli 日頭裏
gnidoelan 年頭浪
gniuqdonmen 月洞門
gnianduneudu 娘大囡大
gnioedaqpi 牛踏扁
godoesy 搞頭勢
goedoesoqcin 跔頭縮頸
geqci 箇記
geqci 搿記
geqdoe 箇頭
geqdoe 搿頭
geqio 搿腰
geqmi 箇面
geqmi 搿面
geqnen 箇能
geqnen 搿能
geqreq 箇個
geqreq 搿個
geqsoe 箇手
geqsoe 搿手
geqtaq 箇墶
geqtaq 搿墶
geqti 箇點
geqti 搿點
geqxiq 箇歇
geqxiq 搿歇
gesen 隑身
gniangnianchian 娘娘腔
gagnioedoe 解鈕頭
gnioegaqdan 牛軋糖
gniugninka 女人家
gnieugnitu 軟耳朵
gnihuendoe 二婚頭
gniqhuentito 熱昏顛倒
gochiqgopaq 搞七搞八
gaqiqciaq 軋一腳
gnikodeu 年糕糰
gniqkegniq 日改日
guekaguesan 摜家摜生
guekasan 摜家生
gninlefon 人來風
gnioqlinge 肉裏眼
goqloqsem 擱落三姆
gniqlixian 日裏向
gaqmiodoe 軋苗頭
giqmenhu 熱門貨
gamenxian 懈門相
geqmitaq 箇面墶
geqmitaq 搿面墶
gnianngu 讓我
gniangnian 娘娘
gnianyi 娘姨
gnici 年紀
gniciaq 年腳
gnide 硯臺
gnidoe 年頭
gnidoe 念頭
gnieubeu 軟盤
gnieuchi 元氣
gnieuphi 軟片
gnieuxi 原先
gnieuzoq 軟熟
gniegni 罱泥
gniku 尼姑
gnikuan 耳光
gnimau 耳馬
gnindjioe 仍舊
gnindo 人道
gnindoe 人頭
gninka 人家
gninkhaq 人客
gninmon 檸檬
gninran 銀行
gnintzon 人中
gninwu 任何
gninyeu 人緣
gniodoe 饒頭
gnioedoe 鈕頭
gnioena 牛奶
gnioetu 牛肚
gnioetzy 鈕子
gniogaq 繞軋
gnionxi 絨線
gnionthan 濃湯
gnioqdeu 肉段
gnioqmau 肉麻
gnioqphu 肉脯
gnioqson 肉鬆
gnioqsy 肉絲
gnioqthon 肉痛
gnioqtin 肉丁
gnioqton 肉凍
gnioqtzan 肉莊
gnioqcian 肉漿
gnioqyan 肉癢
gnioqyeu 肉圓
gnipau 尾巴
gnipau 年把
gniqciaq 日腳
gniqhuen 熱昏
gniqin 日影
gniqli 日裏
gniqloq 熱絡
gniqsy 熱水
gniqteu 日短
gniqtso 熱炒
gniqtzo 日朝
gniqzan 日長
gnixin 疑心
gnixin 膩心
gniten 泥墩
gniti 年底
gnitsu 年初
gnitu 耳朵
gnician 泥漿
gnitzon 年中
gnitzy 兒子
gnitzy 義子
gniudoe 蕊頭
gniugnin 女人
gniuka 女家
gniuqbaq 月白
gniuqci 月季
gniuqdoe 月頭
gniuqdon 月洞
gniuqdu 月大
gniuqlian 月亮
gniuqliq 月曆
gniuqpeu 月半
gniuqpin 月餅
gniuqsan 月生
gniuqxio 月小
gniuqtzon 月中
gniuqzeq 月蝕
gniuxiu 女婿
geqnenka 箇能介
geqnenka 搿能介
gaqnoman 軋鬧猛
godoe 搞頭
gaqphindoe 軋姘頭
guepoku 摜包裹
gnipaukueusy 尾巴官司
gnieupole 元寶籃
gninpoqthewan 寧波灘黃
gnironten 霓虹燈
gniqsybin 熱水瓶
gniosedoe 繞山頭
gnixingniweq 疑心疑惑
gniqxiohu 熱銷貨
guesaumo 摜紗帽
gniuxioneu 女小囝
gnionxise 絨線衫
gnieuxiociq 元宵節
keusanthichi 乾爽天氣
gasewu 解山河
gniqsyyaxian 日思夜想
gnisyjian 泥水匠
gnioachiaqbi 肉皵皮
gnituchieu 耳朵圈
gnitudon 耳朵洞
gniqtzydji 鑷子鉗
gniqciqdoe 熱癤頭
gnitugue 耳朵環
gninchigninve 人千人萬
gniochiqgniopaq 繞七繞八
gochiqgopaq 搞七搞八
gochiqgniese 搞七廿三
gniqthigniqseq 熱天熱色
gnitsuiq 年初一
gniutanka 女當家
gnioetzeku 牛仔褲
gnioetze 牛仔
geqtaqli 箇墶裏
geqtaqli 搿墶裏
geqtanmautzy 箇檔碼子
geqtanmautzy 搿檔碼子
gniaqthaqng 捏鰨魚
gniqtsyphuthan 熱吹潽燙
gnitzonxin 年中心
gniqtzonxin 日中心
gnitzentzoq 疑准足
gaqtsautzy 軋車子
gnintewusu 人丹鬍蘇
gniqtzanyadu 日長夜大
guedo 摜稻
gueko 摜跤
guepho 摜炮
gaqveqlon 軋勿攏
gaqveqwu 軋勿和
geqxiqli 箇歇裏
geqxiqli 搿歇裏
geqxiqti 箇歇點
geqxiqti 搿歇點
geqxiqxiq 箇歇歇
geqxiqxiq 搿歇歇
geqxiqzenkuan 箇歇辰光
geqxiqzenkuan 搿歇辰光
gniyaciaqpi 年夜腳邊
gniyadoe 年夜頭
gninyandi 銀洋鈿
gniyakhua 年夜快
gniyaseqpi 年夜卅邊
geqzenkuan 箇辰光
geqzenkuan 搿辰光
gniqzansycioe 日長世久
keujinthichi 乾淨天氣
hafen 蟹粉
haqkan 瞎講
haqnge 瞎眼
haqrau 瞎話
haqtsa 瞎扯
haqtzy 瞎子
hachin 蟹青
haucieu 花捲
haude 花袋
haudon 花筒
haugni 花呢
haukeu 蝦乾
haumi 蝦米
haugnin 蝦仁
hauron 花紅
hauchio 花俏
hautsy 花痴
hauxi 花險
hawan 蟹黃
hobaqrau 好白話
hobaqxian 好白相
hochiqchiq 好吃吃
hocigniq 好幾日
hochiqletzu 好吃懶做
hochiqve 好吃飯
haudoecin 花頭景
haudoecin 花頭勁
haudoehauno 花頭花腦
hepha 海派
heqseq 黑色
heqxin 黑心
heqthe 黑碳
hetzon 顑腫
heyan 海洋
hezeq 海蜇
haqgnintokua 嚇人倒怪
hohocio 好好較
haqhaqgniq 嚇嚇人
hauhaukontzy 花花公子
hohuseq 好貨色
hohoxisan 好好先生
huaqhuthio 豁虎跳
hoisy 好意思
haukondodi 花功道地
heqkautzy 黑瓜子
hakhoqwan 蟹殼黃
haqlele 瞎來來
hauling 花鯉魚
haulusy 花露水
heqlianxin 黑良心
huaqlintzy 甩翎子
holiotzoq 好料作
heqlichio 黑裏俏
huaqngeso 豁眼梢
huaqngatsy 豁牙齒
heqngeutzy 黑眼烏珠
hochioe 好恘
hochiq 好吃
hoepe 佝背
hoesy 呴勢
hogniq 好日
hohu 好貨
hoku 好過
hoqxi 霍險
hoqyoq 淴浴
hothi 好天
hoxi 好戲
hapakoe 哈巴狗
hanpaqlantan 亨八冷打
hosoeciaq 好手腳
hasoehaciaq 蟹手蟹腳
hosanholian 好商好量
hoseqhorau 好說好話
hensehensy 狠三狠四
hosanicin 好生意經
hausenmi 花生米
husomoqdoe 火燒木頭
haqserausy 瞎三話四
hoseuseu 好算算
huenxiotse 葷小菜
husoyun 火燒雲
hautzyhauli 花嘴花臉
huetinhueton 甩叮甩咚
huatuli 歪垛裏
huethoqthoq 灰拓拓
haqchiqtaqpaq 瞎七搭八
haqtzytantsen 瞎子擋秤
hutsaqyiyi 火赤焰焰
huaqciaq 豁腳
huaqdjieu 豁拳
huaqhuaq 豁豁
huaqkeu 甩乾
huaqnga 豁牙
huaqpi 豁邊
huaqroq 豁鑊
